energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
 80.400,  90.00, 0.567, 0.618, 4.320e+02,  3.2, 1.600e-03
 60.278, 180.00, 0.598, 0.669, 1.330e+00, 16.7, 5.543e-06
100.400,  90.00, 0.710, 0.761, 3.500e+02,  1.7, 2.023e-03
102.200,  90.00, 0.723, 0.774, 3.690e+02,  1.4, 2.210e-03
 80.000, 180.00, 0.797, 0.868, 8.590e-01, 15.2, 6.315e-06
 84.948, 180.00, 0.847, 0.918, 8.340e-01,  9.6, 6.916e-06
126.900,  90.00, 0.899, 0.950, 2.390e+02,  1.3, 2.209e-03
 91.000, 180.00, 0.908, 0.979, 7.880e-01, 12.2, 7.502e-06
100.870, 180.00, 1.007, 1.078, 6.150e-01, 13.0, 7.200e-06
103.700, 160.00, 1.020, 1.090, 5.170e+00,  1.6, 1.995e-03
151.800,  90.00, 1.077, 1.127, 1.150e+02,  0.9, 1.522e-03
110.680, 180.00, 1.106, 1.177, 4.980e-01, 14.7, 7.025e-06
120.700, 160.00, 1.188, 1.258, 2.130e+00,  1.5, 1.115e-03
120.000, 180.00, 1.199, 1.271, 5.090e-01, 11.0, 8.446e-06
120.540, 180.00, 1.205, 1.274, 3.890e-01, 16.8, 6.514e-06
177.200,  90.00, 1.258, 1.308, 3.800e+01,  1.2, 6.861e-04
132.900, 160.00, 1.309, 1.379, 9.400e-01,  2.2, 5.972e-04
131.690, 180.00, 1.317, 1.388, 2.090e-01, 22.3, 4.181e-06
190.200,  90.00, 1.350, 1.401, 1.910e+01,  0.9, 3.975e-04
140.220, 180.00, 1.402, 1.473, 2.090e-01, 17.6, 4.743e-06
201.300,  90.00, 1.429, 1.480, 6.760e+00,  3.5, 1.576e-04
152.000, 160.00, 1.497, 1.568, 2.480e-01,  3.6, 2.064e-04
218.100,  90.00, 1.549, 1.599, 1.530e+00,  5.0, 4.191e-05
159.780, 180.00, 1.598, 1.669, 1.590e-01, 18.0, 4.692e-06
168.200, 160.00, 1.657, 1.727, 1.520e-01,  5.6, 1.551e-04
170.400, 180.00, 1.704, 1.776, 1.295e-01, 25.1, 4.350e-06
246.600,  90.00, 1.751, 1.802, 9.630e-01,  4.9, 3.376e-05
179.611, 180.00, 1.797, 1.868, 1.083e-01, 20.1, 4.045e-06
270.000,  90.00, 1.917, 1.968, 1.760e+00,  2.4, 7.404e-05
196.400, 180.00, 1.964, 2.035, 8.010e-02, 11.0, 3.582e-06
297.500,  90.00, 2.112, 2.162, 1.260e+00,  2.5, 6.442e-05
220.460, 180.00, 2.204, 2.275, 4.220e-02, 31.7, 2.382e-06
319.400,  90.00, 2.267, 2.318, 7.030e-01,  2.3, 4.147e-05
339.100,  90.00, 2.406, 2.457, 2.990e-01,  4.3, 1.990e-05
258.911, 160.00, 2.543, 2.618, 1.330e-02, 30.6, 3.239e-05
280.000, 180.00, 2.796, 2.867, 4.660e-03, 42.5, 4.263e-07
