energy,theta,Q,Q_eff,F_el_squared,A_in_ratio,A_in_percent_err,F_in_squared,F_in_squared_err
61.99,105.7,0.499,0.556,0.4497,0.000341,46,0.000153,0.000071
111.91,58.9,0.557,0.592,0.3593,0.000358,41,0.000129,0.000053
111.93,69.9,0.648,0.689,0.2389,0.000982,21,0.000235,0.000049
111.9,76.2,0.699,0.744,0.1853,0.00167,21,0.000309,0.000065
111.96,82.8,0.748,0.796,0.1396,0.00203,13.4,0.000283,0.000038
111.95,89.8,0.797,0.848,0.1022,0.00269,14.5,0.000275,0.000040
111.92,97.2,0.847,0.901,0.07277,0.00427,13.7,0.000311,0.000043
82.25,145,0.847,0.920,0.0683,0.00567,17.5,0.000387,0.000068
111.98,105.2,0.897,0.954,0.0497,0.00743,14.4,0.000369,0.000053
111.9,114.1,0.946,1.006,0.03267,0.01,15.2,0.000327,0.000050
111.88,124.2,0.995,1.058,0.02034,0.0159,19.7,0.000323,0.000064
111.82,136.5,1.045,1.112,0.01184,0.0294,25,0.000348,0.000087
