energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.705, 0.755, 5.590e+00, 37.0, 3.234e-05
102.200,  90.00, 0.718, 0.768, 6.570e+00, 20.0, 3.939e-05
126.900,  90.00, 0.894, 0.944, 4.440e+00, 12.0, 4.106e-05
103.700, 160.00, 1.013, 1.082, 9.020e-02, 34.0, 3.482e-05
151.800,  90.00, 1.072, 1.122, 2.650e+00,  7.7, 3.509e-05
120.700, 160.00, 1.181, 1.251, 8.020e-02, 16.0, 4.200e-05
177.200,  90.00, 1.253, 1.303, 1.560e+00,  7.5, 2.818e-05
132.900, 160.00, 1.302, 1.371, 5.130e-02, 13.0, 3.260e-05
190.200,  90.00, 1.345, 1.395, 1.030e+00,  5.2, 2.144e-05
201.300,  90.00, 1.424, 1.474, 6.100e-01, 14.0, 1.423e-05
152.000, 160.00, 1.490, 1.560, 1.220e-02, 51.0, 1.016e-05
218.100,  90.00, 1.543, 1.594, 3.100e-01, 13.0, 8.495e-06
168.200, 160.00, 1.650, 1.720, 3.750e-03,100.0, 3.828e-06
246.600,  90.00, 1.746, 1.796, 6.180e-02, 29.0, 2.167e-06
270.000,  90.00, 1.912, 1.962, 3.170e-02, 29.0, 1.334e-06
297.500,  90.00, 2.107, 2.157, 1.100e-02, 50.0, 5.626e-07
319.400,  90.00, 2.262, 2.312, 1.000e-02, 34.0, 5.900e-07
339.100,  90.00, 2.401, 2.452, 1.000e-03,100.0, 6.655e-08
